gender,pitch,tempo,energy,emotion,style_prompt,content_prompt
M,low,high,low,neutral,His rapid speaking speed and low pitch reveal his subdued energy.,The supporters gave us a lot of passion.
F,high,low,high,neutral,"Speaking with enthusiasm, she maintained a deliberate and high-pitched voice.","The vast inequality of ranks, the enormous fortunes of individuals, the ridicule, affixed by the imperial court to moral ideas, all contributed to hasten the period of corruption."
F,high,normal,high,neutral,Her high-pitched delivery matches her enthusiastic speaking energy.,"Look well."""
F,normal,normal,low,neutral,"Her voice is at a low volume, but her pace is average.","She knelt down by him, and soothed and petted and talked to him, while the good clergyman examined the injured leg."
M,low,normal,high,neutral,"The man's low-pitched voice resonates with energy, maintaining a regular speaking speed.","""We must translate these roubles into thalers."
M,normal,normal,high,neutral,The speaker's vibrancy shines in his standard-pitched speech at an average pace.,"At last we started to walk to the village, mr Copley so laden with our hand luggage that he resembled a pack mule."
F,high,normal,normal,neutral,"Speaking naturally, she embodies both high energy and a treble tone.",But I felt it was important to introduce the element of tradition.
M,low,normal,high,neutral,"With his deep, robust vocal quality, he engages energetically in conversation while keeping a typical tempo.","Come, Kitty, I want you up stairs."" And, gathering her work together, she was hastening away, when Elizabeth called out:"
M,low,high,high,neutral,His low-pitched voice reverberates as he delivers his message with rapidity and intensity.,Meares and I walked till we came to the first ice.
F,high,low,low,neutral,"The woman's words unfurled slowly, her voice holding a sharp pitch and embodying a sense of low energy.","""Nothing, nothing,"" replied Rostov."
F,high,low,normal,surprised,"Speaking at a leisurely pace, her startled pitch remains elevated.",say the word tip
F,normal,low,low,neutral,"With a tranquil voice and unhurried pace, she conversed.",five.
F,high,normal,high,neutral,"Speaking with a high pitch, she effectively engages her audience.","Among Greek and Roman ladies the practice was very general of painting the cheeks, eyebrows, and other parts of the face."
M,low,normal,normal,neutral,"A man with a deep voice speaks naturally, creating a soothing effect at an average energy level.","The terrible spell was upon her, too."
F,high,normal,low,fear,Her subdued energy doesn't affect the high pitch of her terrified voice at a regular speed.,say the word note
M,normal,normal,high,neutral,The man articulates his thoughts with normal-speed speech and high energy.,"The report will go before the Scottish Parliament, probably in early autumn."
F,normal,normal,normal,neutral,"Speaking naturally, the girl's pace is normal.","A passionate love may not be necessary in marriage, but, at least, you will admit that there should be no repugnance."
F,high,normal,normal,neutral,"Talking with a high pitch, she engages in conversation at a regular pace.","The visits of Eustace were confined to a week in the summer or autumn: long weeks, that dragged almost as slowly as the bath chair in which the old man was drawn along the sunny sea front."
M,low,normal,high,neutral,A boy's resonant low tone enlivens the conversation with its energetic cadence at a standard pace.,The air was full of a muttered throb.
F,high,normal,normal,neutral,"With a treble voice, she engages in animated discussions.","What did the change mean? ""To morrow"" was the day she had appointed for seeing my mother."
F,high,normal,normal,neutral,"Talking with a high pitch, she maintains a regular speed.",This is really good news for us.
F,normal,normal,high,neutral,"A woman, brimming with enthusiasm, speaks at a normal pitch.",He had played well in that central role.
M,normal,normal,normal,neutral,"He talks in a regular pitch, delivering his speech at a moderate pace with regular energy.",  Theo discussed the boy and the appeal today
F,high,high,normal,neutral,"She talks briskly, her tone pitched high.","Now, do you see?"""
F,high,normal,low,sad,"A heartbroken woman's voice, almost a murmur, is high-pitched.",The revolution now under way in materials handling makes this much easier
M,low,normal,normal,neutral,"A man speaks with his deep voice, conveying a genuine tone at an average pace and energy level.",I won't make an official complaint.)
M,high,low,low,surprised,"His high-pitched speech unfolds slowly, mirroring his stunned sense of low energy.","Tom, went on eeyore gloomily."
M,low,low,high,neutral,"With a low-pitched voice and measured pace, the man's high energy was unmistakable.",Oil embargo endorsed.
F,high,low,high,neutral,"With a burst of energy, she spoke slowly in a high tone.",eight.--Bombay Spinach.
M,low,high,low,neutral,"With a low-pitched voice, the boy speaks rapidly, yet his energy remains low.",I'd like to take the plunge.
M,low,high,low,neutral,"His low energy is displayed in his quick, deep-toned speaking style.",But the action is about to be restarted.
M,low,high,low,neutral,"Despite his low energy, the speaker's deep voice carries a rapid pace.","It being the weekend, there was no-one there."
M,low,high,high,neutral,The man's low-pitched voice delivers a rapid and enthusiastic speech with high energy.,"The other pirates had left very little for the new arrivals to take, and this seemed to annoy them so much that they gave vent to their ill feelings in several ways, not the least wanton being the pollution of the ship's fresh water."
F,normal,normal,low,neutral,"Her words flow softly, despite her low energy.",The whole thing has been a fantastic experience.
M,low,normal,high,neutral,His enthusiastic conversation is fueled by the man's low-pitched voice and a normal speaking tempo.,Apply the correct method of everyday speech to the platform.
F,high,normal,normal,angry,"Speaking at a usual rate, her enraged voice has a high pitch.",say the word when
F,normal,normal,normal,neutral,"Talking at a regular pace, she expresses herself.","Another English Knight rode out, and he fell too."
M,normal,normal,high,neutral,"Engaging with fervor, he speaks at a lively pace while maintaining a normal pitch.",We are indebted to Huber for the discovery of the use made by the bees of pollen.
F,high,normal,low,contempt,"A scornful woman's voice is hushed, with a high pitch.",Land based radar would help with this task
M,low,normal,normal,neutral,"A male speaker's deep voice lends a warm authenticity to his natural speech, at a moderate pace and energy level.",The others consisted of trousers and jacket with hood.
M,low,normal,low,neutral,The man's deep timbre and customary speaking speed merge to convey a prevailing sense of diminished enthusiasm.,It is nearly there.
F,high,high,normal,neutral,A female with rapid speech and high pitch talks.,"After some more talk the king says, ""What are you?"""
F,high,normal,high,neutral,A woman's energetic high pitch electrifies and enlivens the listeners.,But still he smiled with his red thread mouth and seemed trying to make the best of things.
M,low,normal,high,neutral,The man's low-pitched voice sustains an energetic delivery while speaking at a normal speed.,Hull put out his boats to tow the Constitution; Broke summoned the boats of the squadron to tow the Shannon.
M,low,high,normal,neutral,"Expressing regular energy, his speech is characterized by a fast pace and a deep timbre.",The fire was above the hole.
F,high,normal,high,neutral,"She speaks energetically, her voice reaching a high key.","Ginger was saddled and sent off in great haste for Lord George, and I soon heard the carriage roll out of the yard."
F,normal,normal,high,neutral,"With great energy, she maintains a regular speaking tone.","""The others don't mind."
F,low,normal,normal,neutral,"Speaking with a hint of baritone, she communicated.","Grandma put on deep mourning, but Georgia and I had only black sun bonnets, which we wore with heartfelt grief."
F,normal,high,high,neutral,"With enthusiasm, she speaks quickly and with a loud tone.","""To what do I owe the honour of this visit?"""
M,low,low,high,neutral,The boy's deliberate pacing and low pitch couldn't temper his electrifying energy.,"She was wild eyed, dishevelled, her dress fastened all awry."
F,high,low,low,happy,The joyful girl's languid speech exhibited a high-pitched tone and an overall sense of low energy.,Asteroid three hundred and twenty five.
F,high,normal,high,contempt,"Speaking with excitement, her haughty high-pitched voice enhances the energy.",It was not whatever tale was told by tails
F,normal,low,normal,neutral,The woman's measured speech maintained a typical pitch.,"You've a strange method of securing privacy, haven't you?"
M,low,normal,high,neutral,"With an energetic delivery, the male speaker uses a low-pitched voice to maintain a natural tempo.",Shelter also supports the reform.)
F,normal,normal,normal,neutral,"The girl's speaking speed is standard, ensuring comprehension.","I shall not describe the book, for no description would help it. But I shall just say this; that it is what I call a Household Book."
M,low,high,normal,neutral,"With a low pitch, the man's rapid speech maintains a normal energy level.",He stood up at once.
M,low,normal,high,neutral,"His energetic dialogue is underscored by a low, resonant voice as he speaks at a natural speed.","I think the Commission has been very, very slow to react."
F,normal,normal,normal,neutral,The pitch of her speech is moderate.,"The tops of old trees are almost always dead, and large stubborn looking limbs push out horizontally, most of them broken and dead at the end, but densely covered, and imbedded here and there with tufts or mounds of gray green scalelike foliage."
F,high,normal,normal,neutral,"Her voice is sharp, reflecting her normal speaking speed.","""Oh, that's nothing."""
F,normal,normal,normal,neutral,"Speaking naturally, she expresses her thoughts.","For some say that light is required for sight, in order to make colors actually visible."
M,low,normal,low,neutral,"A man employs a deep voice and typical speaking speed, suggesting a state of low energy in his expression.",Everyone is taking a breath and waiting.
F,high,normal,high,neutral,"With great zeal, she speaks in a high-pitched voice.",His suede gloved fist he raised on high to dot the other in the eye.
F,normal,normal,normal,neutral,She articulates her ideas with a regular rhythm.,"Doubt not that she will discover some cunning simple, that will strengthen your body, as well as comfort your heart."
M,low,normal,low,neutral,"The man's voice carries a deep pitch, upholding a standard speaking speed, while emanating minimal energy.",The Shadow Chancellor is away on holiday.
M,low,high,normal,neutral,"With a low-pitched voice, he engages in speedy speech while maintaining normal energy levels.",It is a good lifestyle.
F,high,normal,normal,angry,"Her voice's pitch is high, while her fuming speaking speed remains normal.",I'd just as soon swim your way as others do.
M,normal,low,low,neutral,"The male speaker's unhurried speech, accompanied by a regular tone, reflects his diminished enthusiasm.","""Activity is good, inactivity is evil. Activity transforms evil into good,"" says Shakespeare, according to Gervinus."
F,low,normal,high,neutral,A girl's high-energy words are accompanied by a bass tone.,"Therefore every day I must compel them to go back, which they can do, because they are eagles."
F,high,high,low,neutral,"She whispered quickly, her voice high in tone.","We are a party for people, not against people."
M,low,normal,high,neutral,"With a burst of vitality, the man's low-pitched voice maintains a natural tempo while conveying high energy.",His first term of service in the Philippines was from eighteen ninety nine to nineteen o three.
M,low,normal,normal,neutral,"Speaking in his characteristic deep tone, the male conveys ideas with a natural cadence and standard energy.",Are you quite shoor-quite shoor?
F,high,low,normal,angry,"Her voice has a high pitch, yet her livid speaking speed is deliberately slow.",say the word burn
F,high,normal,low,neutral,"In a hushed manner, her pitch is elevated.",The starting point is pretty unusual.
M,low,low,low,neutral,"The deliberate slowness of the male voice, combined with its low pitch, painted a somber picture of exhaustion and depleted energy.","""Yes,"" Brion said."
